DATE_OF_MISSING,SPAN,QUARTER,DIVISION,SEX,AGE,HEIGHT,COMPLEXION,CLOTH TYPE,RETURNED,,,
04-09-2016,MORNING,3,BASTI BAWA,FEMALE,29,167.64,FAIR,SHIRT JEANS,0,,,
27-09-2016,MORNING,3,BASTI BAWA,MALE,22,152.4,WHEATISH,KAMEEZ PANT,1,,,
19-09-2016,EVENING,3,RAMAMANDI,FEMALE,36,167.64,FAIR,T-SHIRT JEANS,0,,,
26-09-2016,NOON,3,RAMAMANDI,MALE,32,162.56,WHEATISH,KURTA PAJAMA,1,,,
20-10-2019,NIGHT,4,SADAR CAM,MALE,59,165.1, WHEATISH,KURTA PAJAMA,1,,,
22-09-2019,NIGHT,3,2,FEMALE,20,172.72,FAIR,SALWAR SUIT,0,,,
05-09-2019,EVENING,3,5,MALE,20,170,WHEATISH,T-SHIRT CAPERY,0,,,
30-08-2019,EVENING,3,7,MALE,65,162.56, BROWNISH DARK,KURTA PAJAMA,0,,,
14-09-2019,NIGHT,3,RAMAMANDI,FEMALE,26,165.1, WHEATISH,SALWAR SUIT,0,,,
26-07-2019,NIGHT,3,4,MALE,46,175.26, FAIR,SHIRT PANT,1,,,
17-07-2019,NOON,3,SADAR CAMP,FEMALE,22,170.18, FAIR,SUIT SALWAR,0,,,
11-07-2019,NOON,3,SADAR CAMP,MALE,50,180.34, DARK,SHIRT PANT,1,,,
19-07-2019,MORNING,3,BHARGO CAMP,MALE,35,165.1, FAIR,SHIRT JEANS,1,,,
20-10-2019,MORNING,4,1, MALE,19,165.1, WHEATISH,T-SHIRT CAPERY,0,,,
22-09-2016,MORNING,3,RAMAMANDI, FEMALE,28,167.64, WHEATISH,SALWAR SUIT,0,,,
05-09-2016,NOON,3,3, MALE,23,170.18, DARK,SHIRT JEANS,1,,,
30-08-2016,MORNING,3,RAMAMANDI, FEMALE,18,167.64, FAIR,SUIT SALWAR,0,,,
14-09-2016,MORNING,3,SADAR CAMP, MALE,28,172.72, DARK,SHIRT JEANS,0,,,
26-07-2016,EVENING,3,BHARGO CAMP, FEMALE,29,162.56, FAIR,SUIT SALWAR,1,,,
17-07-2016,NIGHT,3,BHARGO CAMP, FEMALE,25,157.48, FAIR,KAMEEZ SALWAR,0,,,
11-07-2016,NIGHT,3,BASTI BAWA, MALE,48,165.1, FAIR,KURTA PAJAMA,1,,,
19-07-2016,EVENING,3,SADAR CAMP, FEMALE,22,152.4, WHEATISH,SUIT SALWAR,0,,,
12-06-2016,EVENING,2,4, FEMALE,17,157.48,FAIR,T-SHIRT JEANS,0,,,
09-01-2016,EVENING,1,4, MALE,44,157.48,WHEATISH,SHIRT PANT,1,,,
14-04-2016,EVENING,2,SADAR CAMP, FEMALE,22,177.8,FAIR,SHIRT JEANS,0,,,
18-03-2016,MORNING,1,SADAR CAMP, FEMALE,24,162.56,WHEATISH,SALWAR SUIT,0,,,
05-03-2016,MORNING,1,7, MALE,24,167.64,WHEATISH,SHIRT JEANS,0,,,
27-02-2016,EVENING,1,RAMAMANDI, FEMALE,21,160.02,FAIR,SUIT SALWAR,0,,,
08-02-2016,NOON,1,BHARGO CAMP, MALE,65,175.26,DARK,KURTA PAJAMA,0,,,
03-12-2016,NOON,4,BHARGO CAMP, FEMALE,24,170.18,FAIR,SALWAR SUIT,1,,,
28-10-2018,NIGHT,4,4, FEMALE,20,152.4,FAIR,T-SHIRT JEANS,1,,,
22-08-2016,EVENING,3,2, MALE,31,167.64,FAIR,SAREE,1,,,
11-12-2016,EVENING,4,SADAR CAMP, FEMALE,20,60.96,FAIR,SHIRT JEANS,0,,,
28-08-2016,NOON,3,8,FEMALE,23,165,WHEATISH,SHIRT JEANS,1,,,
14-06-2016,NIGHT,2,5,MALE,22,170,DARK,SHIRT PANT,1,,,
11-09-2016,NIGHT,3,BASTI BAWA,FEMALE,28,156,WHEATISH,SAREE,0,,,
